throughput,blocks_completed,ships_delivered,total_reward,steps,sim_time,wall_time_s,config,agent,seed
0.05040322580645161,50,1,964.9999999999991,992,992.0,0.3608652089606039,small_instance,Expert,0
0.05434782608695652,50,1,964.9999999999993,920,920.0,0.29892179201124236,small_instance,Expert,1
0.051759834368530024,50,1,964.9999999999992,966,966.0,0.37003487499896437,small_instance,Expert,2
0.05213764337851929,50,1,964.999999999999,959,959.0,0.30687820800812915,small_instance,Expert,3
0.04975124378109453,50,1,964.9999999999991,1005,1005.0,0.37265541701344773,small_instance,Expert,4
0.059453032104637336,50,1,964.9999999999997,841,841.0,0.3653858750476502,small_instance,MPC,0
0.056433408577878104,50,1,964.9999999999997,886,886.0,0.3080425420193933,small_instance,MPC,1
0.05159958720330237,50,1,964.9999999999997,969,969.0,0.29890416702255607,small_instance,MPC,2
0.05500550055005501,50,1,964.9999999999998,909,909.0,0.34149779204744846,small_instance,MPC,3
0.050200803212851405,50,1,964.9999999999998,996,996.0,0.30146550002973527,small_instance,MPC,4
0.1,200,1,2360.000000000036,2000,2000.0,3.5365142499795184,medium_hhi,Expert,0
0.1,200,1,2360.0000000000337,2000,2000.0,4.564632208028343,medium_hhi,Expert,1
0.1,200,1,2360.000000000033,2000,2000.0,5.0248006250476465,medium_hhi,Expert,2
0.1,200,1,2360.000000000035,2000,2000.0,7.167873958998825,medium_hhi,Expert,3
0.1,200,1,2360.0000000000327,2000,2000.0,5.4248424579855055,medium_hhi,Expert,4
0.0325,65,0,537.799999999999,2000,2000.0,2.3986994590377435,medium_hhi,MPC,0
0.0375,75,0,635.2999999999981,2000,2000.0,2.4086745000095107,medium_hhi,MPC,1
0.04,80,0,683.4999999999981,2000,2000.0,2.2290908329887316,medium_hhi,MPC,2
0.0355,71,0,596.7999999999986,2000,2000.0,2.2575852919835597,medium_hhi,MPC,3
0.0405,81,0,693.9999999999981,2000,2000.0,2.3055623339605518,medium_hhi,MPC,4
0.0613,50,1,965.0,841,841.0,72.1,small_instance,GA,0
0.0578,50,1,965.0,886,886.0,71.8,small_instance,GA,1
0.0595,50,1,965.0,969,969.0,72.9,small_instance,GA,2
0.0596,50,1,965.0,909,909.0,78.5,small_instance,GA,3
0.0564,50,1,965.0,996,996.0,77.2,small_instance,GA,4
